choice	experiment_id	weight	p_zone	a_zone	outward_period	return_period	purpose	CarOwnershipConstant23	WAWE_Cost_Outward	KAWE_Cost_Outward	Bicycle_Cost_Outward	Walk_Cost_Return	Car_Cost_Return	Car_Cost_Outward	WAPE_Cost_Return	Bicycle_Cost_Return	a_CBDNonCore	WAWE_Cost_Return	Walk_Cost_Outward	a_CBDCore	CarOwnershipConstant0	PAWE_Cost_Outward	a_OuterFrame	WAKE_Cost_Return	a_CBDFrame	Bicycle_av	Car_av	PT_Kiss_Access_av	PT_Park_Access_av	PT_Walk_Access_av	Walk_av
2	7277	14.7988849987194	3436	3303	0	14	1001	0	0.0	0.0	0.0	2497.10766601562	448.978454589844	0.0	4294.9873046875	844.231323242188	0	4251.9521484375	0.0	0	1	0.0	0	4294.9873046875	0	1	1	1	1	1	1
2	7278	14.8088932292222	3259	3303	0	14	1001	0	0.0	0.0	0.0	1818.62658691406	461.525085449219	0.0	4233.365234375	617.292419433594	0	4747.42236328125	0.0	0	0	0.0	0	4233.365234375	0	1	1	1	1	1	1
2	7279	3.91933646684044	3323	3301	0	14	1001	0	0.0	0.0	0.0	1470.72973632812	262.979919433594	0.0	4265.58447265625	502.609161376953	0	5206.43603515625	0.0	0	1	0.0	0	4265.58447265625	0	1	1	1	1	1	1
2	7280	43.2911516068332	3481	3345	0	14	1001	1	0.0	0.0	0.0	1630.6630859375	581.849487304688	0.0	5664.9697265625	568.790161132812	0	6074.35888671875	0.0	0	0	0.0	0	5664.9697265625	0	1	1	1	1	1	1
2	7281	11.802454090617	3483	3302	0	14	1001	0	0.0	0.0	0.0	1275.34680175781	256.053955078125	0.0	4278.826171875	431.939788818359	0	4240.087890625	0.0	0	0	0.0	0	4278.826171875	0	1	1	1	1	1	1
2	7282	162.532621798314	3481	3302	14	0	1001	1	4655.19384765625	4155.3173828125	346.751800537109	0.0	0.0	193.83854675293	0.0	0.0	0	0.0	1003.294921875	0	0	4155.3173828125	0	0.0	0	1	1	1	1	1	1
2	7283	15.1794616858392	3478	3452	14	0	1001	0	4626.8173828125	4646.841796875	274.296173095703	0.0	0.0	151.130920410156	0.0	0.0	0	0.0	789.500366210938	0	0	4646.841796875	0	0.0	0	1	1	1	1	1	1
2	7284	11.7290910063795	3485	3444	0	14	1001	0	0.0	0.0	0.0	1048.91174316406	203.729690551758	0.0	4374.81982421875	364.476379394531	0	4514.35546875	0.0	0	0	0.0	0	4374.81982421875	0	1	1	1	1	1	1
2	7285	28.4436459967749	3485	3451	0	14	1001	0	0.0	0.0	0.0	611.704772949219	142.612548828125	0.0	4727.326171875	223.641387939453	0	4775.74462890625	0.0	0	0	0.0	0	4727.326171875	0	1	1	1	1	1	1
2	7286	54.2395512386389	3485	3297	0	14	1001	1	0.0	0.0	0.0	946.136413574219	188.123077392578	0.0	4145.29638671875	331.775207519531	0	4412.52294921875	0.0	0	0	0.0	0	4145.29638671875	0	1	1	1	1	1	1
2	7287	14.07290101079	3439	3303	0	14	1001	1	0.0	0.0	0.0	1110.19189453125	316.821350097656	0.0	3808.63940429688	378.674438476562	0	3816.38549804688	0.0	0	0	0.0	0	3808.63940429688	0	1	1	1	1	1	1
2	7288	15.9657186106028	3453	3303	0	14	1001	1	0.0	0.0	0.0	1059.90356445312	293.967071533203	0.0	3882.4609375	366.033599853516	0	4114.5283203125	0.0	0	0	0.0	0	3882.4609375	0	1	1	1	1	1	1
